,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,precipitation_sum (mm),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2014-07-31,21.043225806451613,182.8709677419355,40.4,24.40967741935484,40.4,0.0
2014-08-31,17.61032258064516,152.96774193548387,27.8,25.206451612903226,27.8,0.0
2014-09-30,16.596333333333334,144.2,99.7,20.976666666666667,99.7,0.0
2014-10-31,23.230645161290322,201.80645161290323,84.3,16.370967741935484,84.3,0.0
2014-11-30,37.86133333333333,328.8666666666667,55.9,11.643333333333334,55.9,0.0
2014-12-31,51.96677419354839,451.38709677419354,113.6,9.432258064516128,101.4,8.540000000000001
2015-01-31,79.93032258064517,694.3225806451613,109.7,6.325806451612903,86.6,17.29
2015-02-28,92.51857142857143,803.6785714285714,120.9,6.746428571428572,83.7,26.04
2015-03-31,95.05032258064516,825.6774193548387,69.7,7.935483870967742,69.7,0.0
2015-04-30,96.11366666666666,835.0,78.3,10.613333333333333,78.3,0.0
2015-05-31,94.01322580645162,816.6451612903226,29.4,17.458064516129035,29.4,0.0
2015-06-30,89.03566666666667,773.4333333333333,32.5,20.486666666666668,32.5,0.0
2015-07-31,82.11322580645161,713.2258064516129,1.1,24.38064516129032,1.1,0.0
2015-08-31,73.30000000000001,636.6774193548387,6.0,25.46451612903226,6.0,0.0
2015-09-30,65.07066666666667,565.2,80.6,22.863333333333333,80.6,0.0
2015-10-31,67.49774193548386,586.4193548387096,108.89999999999999,16.351612903225806,108.89999999999999,0.0
2015-11-30,66.42633333333333,577.0,33.0,13.54,33.0,0.0
2015-12-31,61.24258064516129,531.9677419354839,26.299999999999997,7.983870967741935,9.1,12.04
2016-01-31,67.54612903225807,586.8709677419355,152.3,5.638709677419355,100.7,37.17
2016-02-29,84.34448275862069,732.6551724137931,74.39999999999999,9.793103448275861,68.3,4.27
2016-03-31,88.0209677419355,764.6129032258065,71.6,9.883870967741935,71.6,0.0
2016-04-30,86.24633333333333,749.3,14.299999999999999,14.646666666666668,14.299999999999999,0.0
2016-05-31,81.36677419354838,706.9354838709677,51.4,17.103225806451615,51.4,0.0
2016-06-30,74.87133333333333,650.4333333333333,14.3,22.85,14.3,0.0
2016-07-31,67.05548387096773,582.5483870967741,3.6,24.751612903225805,3.6,0.0
2016-08-31,56.86612903225806,493.93548387096774,19.7,24.90967741935484,19.7,0.0
2016-09-30,48.60733333333334,422.26666666666665,46.7,21.279999999999998,46.7,0.0
2016-10-31,41.65483870967742,361.7741935483871,33.9,15.73225806451613,33.9,0.0
2016-11-30,36.028999999999996,313.0,120.1,11.886666666666667,120.1,0.0
2016-12-31,39.50290322580645,343.258064516129,136.0,5.287096774193548,121.2,10.36
2017-01-31,70.59967741935485,613.258064516129,135.7,2.767741935483871,92.3,30.45
2017-02-28,86.07642857142856,747.75,34.2,6.210714285714286,33.6,0.42000000000000004
2017-03-31,88.61967741935484,769.8387096774194,55.2,8.893548387096773,55.2,0.0
2017-04-30,87.76033333333334,762.4,36.1,11.386666666666667,36.1,0.0
2017-05-31,84.51322580645162,734.1290322580645,46.4,16.274193548387096,46.4,0.0
2017-06-30,79.78033333333333,693.1,67.60000000000001,21.56,67.60000000000001,0.0
2017-07-31,74.26225806451613,645.0645161290323,47.1,23.85483870967742,47.1,0.0
2017-08-31,66.49774193548386,577.6129032258065,25.8,23.848387096774193,25.8,0.0
2017-09-30,58.14433333333333,505.1333333333333,35.099999999999994,21.753333333333334,35.099999999999994,0.0
2017-10-31,54.1641935483871,470.4516129032258,108.3,14.919354838709678,108.3,0.0
2017-11-30,55.36633333333334,481.0,62.800000000000004,11.376666666666667,62.800000000000004,0.0
2017-12-31,57.46967741935484,499.16129032258067,93.6,9.812903225806451,92.9,0.49
2018-01-31,68.39612903225807,594.1290322580645,80.3,6.532258064516129,79.3,0.7
2018-02-28,77.89321428571428,676.6785714285714,89.7,7.560714285714285,89.7,0.0
2018-03-31,89.36451612903227,776.2903225806451,120.19999999999999,10.22258064516129,119.8,0.28
2018-04-30,90.59333333333333,787.0,20.7,14.09,20.7,0.0
2018-05-31,87.49580645161289,760.0,87.2,18.125806451612902,87.2,0.0
2018-06-30,82.911,720.1666666666666,56.3,22.14333333333333,56.3,0.0
